hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1007,Nonresident,19,0,0,0,0,N/A
DB1007,Nonresident,18,0,0,0,0,N/A
DB1007,Nonresident,17,0,0,0,0,N/A
DB1007,Nonresident,16,0,0,0,0,N/A
DB1007,Nonresident,15,0,0,0,0,N/A
DB1007,Nonresident,14,0,0,0,0,N/A
DB1007,Nonresident,13,0,0,0,0,N/A
DB1007,Nonresident,12,0,0,0,0,N/A
DB1007,Nonresident,11,0,0,0,0,N/A
DB1007,Nonresident,10,0,0,0,0,N/A
DB1007,Nonresident,9,0,0,0,0,N/A
DB1007,Nonresident,8,0,0,0,0,N/A
DB1007,Nonresident,7,0,0,0,0,N/A
DB1007,Nonresident,6,0,0,0,0,N/A
DB1007,Nonresident,5,0,0,0,0,N/A
DB1007,Nonresident,4,0,0,0,0,N/A
DB1007,Nonresident,3,0,0,0,0,N/A
DB1007,Nonresident,2,0,0,0,0,N/A
DB1007,Nonresident,1,0,0,0,0,N/A
DB1007,Nonresident,0,0,0,0,0,N/A
DB1007,Resident,32,0,0,0,0,N/A
DB1007,Resident,31,0,0,0,0,N/A
DB1007,Resident,30,0,0,0,0,N/A
DB1007,Resident,29,0,0,0,0,N/A
DB1007,Resident,28,1,0,0,0,N/A
DB1007,Resident,27,0,0,0,0,N/A
DB1007,Resident,26,5,0,0,0,N/A
DB1007,Resident,25,12,0,0,0,N/A
DB1007,Resident,24,15,0,0,0,N/A
DB1007,Resident,23,11,0,0,0,N/A
DB1007,Resident,22,18,0,0,0,N/A
DB1007,Resident,21,18,0,0,0,N/A
DB1007,Resident,20,19,0,0,0,N/A
DB1007,Resident,19,14,0,0,0,N/A
DB1007,Resident,18,10,0,0,0,N/A
DB1007,Resident,17,23,0,0,0,N/A
DB1007,Resident,16,29,0,0,0,N/A
DB1007,Resident,15,22,0,0,0,N/A
DB1007,Resident,14,24,0,0,0,N/A
DB1007,Resident,13,22,0,0,0,N/A
DB1007,Resident,12,16,0,0,0,N/A
DB1007,Resident,11,24,0,0,0,N/A
DB1007,Resident,10,19,0,0,0,N/A
DB1007,Resident,9,18,0,0,0,N/A
DB1007,Resident,8,22,0,0,0,N/A
DB1007,Resident,7,16,0,0,0,N/A
DB1007,Resident,6,8,0,1,1,1 in 8.0
DB1007,Resident,5,18,0,0,0,N/A
DB1007,Resident,4,22,0,0,0,N/A
DB1007,Resident,3,14,0,0,0,N/A
DB1007,Resident,2,28,0,0,0,N/A
DB1007,Resident,1,19,0,0,0,N/A
DB1007,Resident,0,21,0,0,0,N/A
DB1008,Nonresident,32,0,0,0,0,N/A
DB1008,Nonresident,31,0,0,0,0,N/A
DB1008,Nonresident,30,0,0,0,0,N/A
DB1008,Nonresident,29,0,0,0,0,N/A
DB1008,Nonresident,28,1,0,0,0,N/A
DB1008,Nonresident,27,1,0,0,0,N/A
DB1008,Nonresident,26,4,0,0,0,N/A
DB1008,Nonresident,25,6,0,0,0,N/A
DB1008,Nonresident,24,5,0,0,0,N/A
DB1008,Nonresident,23,2,0,0,0,N/A
DB1008,Nonresident,22,2,0,0,0,N/A
DB1008,Nonresident,21,3,0,0,0,N/A
DB1008,Nonresident,20,5,0,0,0,N/A
DB1008,Nonresident,19,9,0,0,0,N/A
DB1008,Nonresident,18,9,0,0,0,N/A
DB1008,Nonresident,17,4,0,0,0,N/A
DB1008,Nonresident,16,55,0,0,0,N/A
DB1008,Nonresident,15,22,0,0,0,N/A
DB1008,Nonresident,14,13,0,0,0,N/A
DB1008,Nonresident,13,19,0,0,0,N/A
DB1008,Nonresident,12,18,0,0,0,N/A
DB1008,Nonresident,11,14,0,0,0,N/A
DB1008,Nonresident,10,13,0,0,0,N/A
DB1008,Nonresident,9,15,0,0,0,N/A
DB1008,Nonresident,8,17,0,0,0,N/A
DB1008,Nonresident,7,13,0,0,0,N/A
DB1008,Nonresident,6,17,0,0,0,N/A
